From,To,Sala A5-A7: Fill Level
1/1/2021 00:00,1/1/2021 00:10,
1/1/2021 00:10,1/1/2021 00:20,
1/1/2021 00:20,1/1/2021 00:30,
1/1/2021 00:30,1/1/2021 00:40,
1/1/2021 00:40,1/1/2021 00:50,
1/1/2021 00:50,1/1/2021 01:00,
1/1/2021 01:00,1/1/2021 01:10,
1/1/2021 01:10,1/1/2021 01:20,
1/1/2021 01:20,1/1/2021 01:30,
1/1/2021 01:30,1/1/2021 01:40,
1/1/2021 01:40,1/1/2021 01:50,
1/1/2021 01:50,1/1/2021 02:00,
1/1/2021 02:00,1/1/2021 02:10,
1/1/2021 02:10,1/1/2021 02:20,
1/1/2021 02:20,1/1/2021 02:30,
1/1/2021 02:30,1/1/2021 02:40,
1/1/2021 02:40,1/1/2021 02:50,
1/1/2021 02:50,1/1/2021 03:00,
1/1/2021 03:00,1/1/2021 03:10,
1/1/2021 03:10,1/1/2021 03:20,
1/1/2021 03:20,1/1/2021 03:30,
1/1/2021 03:30,1/1/2021 03:40,
1/1/2021 03:40,1/1/2021 03:50,
1/1/2021 03:50,1/1/2021 04:00,
1/1/2021 04:00,1/1/2021 04:10,
1/1/2021 04:10,1/1/2021 04:20,
1/1/2021 04:20,1/1/2021 04:30,
1/1/2021 04:30,1/1/2021 04:40,
1/1/2021 04:40,1/1/2021 04:50,
1/1/2021 04:50,1/1/2021 05:00,
1/1/2021 05:00,1/1/2021 05:10,
1/1/2021 05:10,1/1/2021 05:20,
1/1/2021 05:20,1/1/2021 05:30,
1/1/2021 05:30,1/1/2021 05:40,
1/1/2021 05:40,1/1/2021 05:50,
1/1/2021 05:50,1/1/2021 06:00,
1/1/2021 06:00,1/1/2021 06:10,
1/1/2021 06:10,1/1/2021 06:20,
1/1/2021 06:20,1/1/2021 06:30,
1/1/2021 06:30,1/1/2021 06:40,
1/1/2021 06:40,1/1/2021 06:50,
1/1/2021 06:50,1/1/2021 07:00,
1/1/2021 07:00,1/1/2021 07:10,
1/1/2021 07:10,1/1/2021 07:20,
1/1/2021 07:20,1/1/2021 07:30,
1/1/2021 07:30,1/1/2021 07:40,
1/1/2021 07:40,1/1/2021 07:50,
1/1/2021 07:50,1/1/2021 08:00,
1/1/2021 08:00,1/1/2021 08:10,
1/1/2021 08:10,1/1/2021 08:20,
1/1/2021 08:20,1/1/2021 08:30,
1/1/2021 08:30,1/1/2021 08:40,
1/1/2021 08:40,1/1/2021 08:50,
1/1/2021 08:50,1/1/2021 09:00,
1/1/2021 09:00,1/1/2021 09:10,
1/1/2021 09:10,1/1/2021 09:20,
1/1/2021 09:20,1/1/2021 09:30,
1/1/2021 09:30,1/1/2021 09:40,
1/1/2021 09:40,1/1/2021 09:50,
1/1/2021 09:50,1/1/2021 10:00,
1/1/2021 10:00,1/1/2021 10:10,
1/1/2021 10:10,1/1/2021 10:20,
1/1/2021 10:20,1/1/2021 10:30,
1/1/2021 10:30,1/1/2021 10:40,
1/1/2021 10:40,1/1/2021 10:50,
1/1/2021 10:50,1/1/2021 11:00,
1/1/2021 11:00,1/1/2021 11:10,
1/1/2021 11:10,1/1/2021 11:20,
1/1/2021 11:20,1/1/2021 11:30,
1/1/2021 11:30,1/1/2021 11:40,
1/1/2021 11:40,1/1/2021 11:50,
1/1/2021 11:50,1/1/2021 12:00,
1/1/2021 12:00,1/1/2021 12:10,
1/1/2021 12:10,1/1/2021 12:20,
1/1/2021 12:20,1/1/2021 12:30,
1/1/2021 12:30,1/1/2021 12:40,
1/1/2021 12:40,1/1/2021 12:50,
1/1/2021 12:50,1/1/2021 13:00,
1/1/2021 13:00,1/1/2021 13:10,
1/1/2021 13:10,1/1/2021 13:20,
1/1/2021 13:20,1/1/2021 13:30,
1/1/2021 13:30,1/1/2021 13:40,
1/1/2021 13:40,1/1/2021 13:50,
1/1/2021 13:50,1/1/2021 14:00,
1/1/2021 14:00,1/1/2021 14:10,
1/1/2021 14:10,1/1/2021 14:20,
1/1/2021 14:20,1/1/2021 14:30,
1/1/2021 14:30,1/1/2021 14:40,
1/1/2021 14:40,1/1/2021 14:50,
1/1/2021 14:50,1/1/2021 15:00,
1/1/2021 15:00,1/1/2021 15:10,
1/1/2021 15:10,1/1/2021 15:20,
1/1/2021 15:20,1/1/2021 15:30,
1/1/2021 15:30,1/1/2021 15:40,
1/1/2021 15:40,1/1/2021 15:50,
1/1/2021 15:50,1/1/2021 16:00,
